p1,p2,label_x,label_y,cat
http://purl.obolibrary.org/obo/HP_0001159,http://purl.obolibrary.org/obo/MP_0000564,Syndactyly (HPO),syndactyly (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001762,http://purl.obolibrary.org/obo/MP_0000576,Talipes equinovarus (HPO),clubfoot (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002164,http://purl.obolibrary.org/obo/MP_0000579,Nail dysplasia (HPO),abnormal nail morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008404,http://purl.obolibrary.org/obo/MP_0000579,Nail dystrophy (HPO),abnormal nail morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002910,http://purl.obolibrary.org/obo/MP_0000609,Elevated hepatic transaminase (HPO),abnormal liver physiology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031865,http://purl.obolibrary.org/obo/MP_0000609,Abnormal liver physiology (HPO),abnormal liver physiology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001396,http://purl.obolibrary.org/obo/MP_0000610,Cholestasis (HPO),cholestasis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000952,http://purl.obolibrary.org/obo/MP_0000611,Jaundice (HPO),jaundice (MPO),lexical
http://purl.obolibrary.org/obo/HP_0010286,http://purl.obolibrary.org/obo/MP_0000613,Abnormal salivary gland morphology (HPO),abnormal salivary gland morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002307,http://purl.obolibrary.org/obo/MP_0000622,Drooling (HPO),increased salivation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0003781,http://purl.obolibrary.org/obo/MP_0000622,Excessive salivation (HPO),increased salivation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000217,http://purl.obolibrary.org/obo/MP_0000623,Xerostomia (HPO),decreased salivation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0100783,http://purl.obolibrary.org/obo/MP_0000629,Breast aplasia (HPO),absent mammary gland (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008216,http://purl.obolibrary.org/obo/MP_0000639,Adrenal gland dysgenesis (HPO),abnormal adrenal gland morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001651,http://purl.obolibrary.org/obo/MP_0000644,Dextrocardia (HPO),dextrocardia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0032226,http://purl.obolibrary.org/obo/MP_0000647,Abnormal sebaceous gland morphology (HPO),abnormal sebaceous gland morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0410400,http://purl.obolibrary.org/obo/MP_0000648,Absent sebaceous glands (HPO),absent sebaceous gland (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011599,http://purl.obolibrary.org/obo/MP_0000650,Mesocardia (HPO),mesocardia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000971,http://purl.obolibrary.org/obo/MP_0000674,Abnormal sweat gland morphology (HPO),abnormal sweat gland morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008188,http://purl.obolibrary.org/obo/MP_0000681,Thyroid dysgenesis (HPO),abnormal thyroid gland morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0025408,http://purl.obolibrary.org/obo/MP_0000689,Abnormal spleen morphology (HPO),abnormal spleen morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002716,http://purl.obolibrary.org/obo/MP_0000702,Lymphadenopathy (HPO),enlarged lymph nodes (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000778,http://purl.obolibrary.org/obo/MP_0000706,Hypoplasia of the thymus (HPO),small thymus (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002487,http://purl.obolibrary.org/obo/MP_0000743,Hyperkinetic movements (HPO),muscle spasm (MPO),lexical
http://purl.obolibrary.org/obo/HP_0003394,http://purl.obolibrary.org/obo/MP_0000743,Muscle spasm (HPO),muscle spasm (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001337,http://purl.obolibrary.org/obo/MP_0000745,Tremor (HPO),tremors (MPO),lexical
http://purl.obolibrary.org/obo/HP_0003202,http://purl.obolibrary.org/obo/MP_0000749,Skeletal muscle atrophy (HPO),muscle degeneration (MPO),lexical
http://purl.obolibrary.org/obo/HP_0003470,http://purl.obolibrary.org/obo/MP_0000753,Paralysis (HPO),paralysis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001543,http://purl.obolibrary.org/obo/MP_0000757,Gastroschisis (HPO),herniated abdominal wall (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011805,http://purl.obolibrary.org/obo/MP_0000759,Abnormal skeletal muscle morphology (HPO),abnormal skeletal muscle morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0030809,http://purl.obolibrary.org/obo/MP_0000762,Abnormal tongue morphology (HPO),abnormal tongue morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001273,http://purl.obolibrary.org/obo/MP_0000780,Abnormal corpus callosum morphology (HPO),abnormal corpus callosum morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0025101,http://purl.obolibrary.org/obo/MP_0000808,Dysgenesis of the hippocampus (HPO),abnormal hippocampus development (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001317,http://purl.obolibrary.org/obo/MP_0000849,Abnormal cerebellum morphology (HPO),abnormal cerebellum morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0007033,http://purl.obolibrary.org/obo/MP_0000849,Cerebellar dysplasia (HPO),abnormal cerebellum morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001321,http://purl.obolibrary.org/obo/MP_0000852,Cerebellar hypoplasia (HPO),small cerebellum (MPO),lexical
http://purl.obolibrary.org/obo/HP_0030769,http://purl.obolibrary.org/obo/MP_0000914,Exencephaly (HPO),exencephaly (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012447,http://purl.obolibrary.org/obo/MP_0000920,Abnormal myelination (HPO),abnormal myelination (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011096,http://purl.obolibrary.org/obo/MP_0000921,Peripheral demyelination (HPO),demyelination (MPO),lexical
http://purl.obolibrary.org/obo/HP_0007373,http://purl.obolibrary.org/obo/MP_0000938,Motor neuron atrophy (HPO),motor neuron degeneration (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001291,http://purl.obolibrary.org/obo/MP_0001056,Abnormal cranial nerve morphology (HPO),abnormal cranial nerve morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000135,http://purl.obolibrary.org/obo/MP_0001116,Hypogonadism (HPO),small gonad (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031105,http://purl.obolibrary.org/obo/MP_0001120,Abnormal uterus morphology (HPO),abnormal uterus morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000142,http://purl.obolibrary.org/obo/MP_0001139,Abnormal vagina morphology (HPO),abnormal vagina morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000035,http://purl.obolibrary.org/obo/MP_0001146,Abnormal testis morphology (HPO),abnormal testis morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000053,http://purl.obolibrary.org/obo/MP_0001148,Macroorchidism (HPO),enlarged testis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008669,http://purl.obolibrary.org/obo/MP_0001156,Abnormal spermatogenesis (HPO),abnormal spermatogenesis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008775,http://purl.obolibrary.org/obo/MP_0001158,Abnormal prostate morphology (HPO),abnormal prostate gland morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002088,http://purl.obolibrary.org/obo/MP_0001175,Abnormal lung morphology (HPO),abnormal lung morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0100750,http://purl.obolibrary.org/obo/MP_0001177,Atelectasis (HPO),atelectasis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0005944,http://purl.obolibrary.org/obo/MP_0001181,Bilateral lung agenesis (HPO),absent lungs (MPO),lexical
http://purl.obolibrary.org/obo/HP_0040223,http://purl.obolibrary.org/obo/MP_0001182,Pulmonary hemorrhage (HPO),lung hemorrhage (MPO),lexical
http://purl.obolibrary.org/obo/HP_0010783,http://purl.obolibrary.org/obo/MP_0001190,Erythema (HPO),reddish skin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0040189,http://purl.obolibrary.org/obo/MP_0001192,Scaling skin (HPO),scaly skin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000963,http://purl.obolibrary.org/obo/MP_0001199,Thin skin (HPO),thin skin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001072,http://purl.obolibrary.org/obo/MP_0001200,Thickened skin (HPO),thick skin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0010648,http://purl.obolibrary.org/obo/MP_0001201,Dermal translucency (HPO),translucent skin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000992,http://purl.obolibrary.org/obo/MP_0001202,Cutaneous photosensitivity (HPO),skin photosensitivity (MPO),lexical
http://purl.obolibrary.org/obo/HP_0200037,http://purl.obolibrary.org/obo/MP_0001208,Skin vesicle (HPO),blistering (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000962,http://purl.obolibrary.org/obo/MP_0001242,Hyperkeratosis (HPO),hyperkeratosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001552,http://purl.obolibrary.org/obo/MP_0001268,Barrel-shaped chest (HPO),barrel chest (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000528,http://purl.obolibrary.org/obo/MP_0001293,Anophthalmia (HPO),anophthalmia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000568,http://purl.obolibrary.org/obo/MP_0001297,Microphthalmia (HPO),microphthalmia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012376,http://purl.obolibrary.org/obo/MP_0001306,Microphakia (HPO),small lens (MPO),lexical
http://purl.obolibrary.org/obo/HP_0007957,http://purl.obolibrary.org/obo/MP_0001314,Corneal opacity (HPO),corneal opacity (MPO),lexical
http://purl.obolibrary.org/obo/HP_0007973,http://purl.obolibrary.org/obo/MP_0001325,Retinal dysplasia (HPO),abnormal retina morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000546,http://purl.obolibrary.org/obo/MP_0001326,Retinal degeneration (HPO),retinal degeneration (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001093,http://purl.obolibrary.org/obo/MP_0001330,Optic nerve dysplasia (HPO),abnormal optic nerve morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001097,http://purl.obolibrary.org/obo/MP_0001337,Keratoconjunctivitis sicca (HPO),dry eyes (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000492,http://purl.obolibrary.org/obo/MP_0001340,Abnormal eyelid morphology (HPO),abnormal eyelid morphology (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011224,http://purl.obolibrary.org/obo/MP_0001341,Ablepharon (HPO),absent eyelids (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000508,http://purl.obolibrary.org/obo/MP_0001344,Ptosis (HPO),blepharoptosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0007656,http://purl.obolibrary.org/obo/MP_0001347,Lacrimal gland aplasia (HPO),absent lacrimal glands (MPO),lexical
http://purl.obolibrary.org/obo/HP_0009926,http://purl.obolibrary.org/obo/MP_0001349,Epiphora (HPO),excessive tearing (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012875,http://purl.obolibrary.org/obo/MP_0001378,Abnormal ejaculation (HPO),abnormal ejaculation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000496,http://purl.obolibrary.org/obo/MP_0001389,Abnormality of eye movement (HPO),abnormal eye movement (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001251,http://purl.obolibrary.org/obo/MP_0001393,Ataxia (HPO),ataxia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000752,http://purl.obolibrary.org/obo/MP_0001399,Hyperactivity (HPO),hyperactivity (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001288,http://purl.obolibrary.org/obo/MP_0001406,Gait disturbance (HPO),abnormal gait (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000733,http://purl.obolibrary.org/obo/MP_0001408,Stereotypy (HPO),stereotypic behavior (MPO),lexical
http://purl.obolibrary.org/obo/HP_0030082,http://purl.obolibrary.org/obo/MP_0001422,Abnormal drinking behavior (HPO),abnormal drinking behavior (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001959,http://purl.obolibrary.org/obo/MP_0001426,Polydipsia (HPO),polydipsia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001944,http://purl.obolibrary.org/obo/MP_0001429,Dehydration (HPO),dehydration (MPO),lexical
http://purl.obolibrary.org/obo/HP_0100738,http://purl.obolibrary.org/obo/MP_0001431,Abnormal eating behavior (HPO),abnormal eating behavior (MPO),lexical
http://purl.obolibrary.org/obo/HP_0010831,http://purl.obolibrary.org/obo/MP_0001516,Impaired proprioception (HPO),abnormal motor coordination/balance (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002305,http://purl.obolibrary.org/obo/MP_0001527,Athetosis (HPO),athetotic walking movements (MPO),lexical
http://purl.obolibrary.org/obo/HP_0030781,http://purl.obolibrary.org/obo/MP_0001554,Increased circulating free fatty acid level (HPO),increased circulating free fatty acid level (MPO),lexical
http://purl.obolibrary.org/obo/HP_0040214,http://purl.obolibrary.org/obo/MP_0001560,Abnormal insulin level (HPO),abnormal circulating insulin level (MPO),lexical
http://purl.obolibrary.org/obo/HP_0040215,http://purl.obolibrary.org/obo/MP_0001560,Abnormal circulating insulin level (HPO),abnormal circulating insulin level (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000961,http://purl.obolibrary.org/obo/MP_0001575,Cyanosis (HPO),cyanosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001903,http://purl.obolibrary.org/obo/MP_0001577,Anemia (HPO),anemia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001878,http://purl.obolibrary.org/obo/MP_0001585,Hemolytic anemia (HPO),hemolytic anemia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0020058,http://purl.obolibrary.org/obo/MP_0001586,Abnormal red blood cell count (HPO),abnormal erythrocyte cell number (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011902,http://purl.obolibrary.org/obo/MP_0001588,Abnormal hemoglobin (HPO),abnormal hemoglobin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0025546,http://purl.obolibrary.org/obo/MP_0001589,Abnormal mean corpuscular hemoglobin concentration (HPO),abnormal mean corpuscular hemoglobin (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002615,http://purl.obolibrary.org/obo/MP_0001596,Hypotension (HPO),hypotension (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011675,http://purl.obolibrary.org/obo/MP_0001629,Arrhythmia (HPO),abnormal heart rate (MPO),lexical
http://purl.obolibrary.org/obo/HP_0011675,http://purl.obolibrary.org/obo/MP_0001636,Arrhythmia (HPO),irregular heartbeat (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002605,http://purl.obolibrary.org/obo/MP_0001654,Hepatic necrosis (HPO),hepatic necrosis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002028,http://purl.obolibrary.org/obo/MP_0001665,Chronic diarrhea (HPO),chronic diarrhea (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008897,http://purl.obolibrary.org/obo/MP_0001732,Postnatal growth retardation (HPO),postnatal growth retardation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0008232,http://purl.obolibrary.org/obo/MP_0001750,Elevated circulating follicle stimulating hormone level (HPO),increased circulating follicle stimulating hormone level (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012337,http://purl.obolibrary.org/obo/MP_0001764,Abnormal homeostasis (HPO),abnormal homeostasis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000777,http://purl.obolibrary.org/obo/MP_0001823,Abnormality of the thymus (HPO),thymus hypoplasia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0410035,http://purl.obolibrary.org/obo/MP_0001828,Abnormal T cell activation (HPO),abnormal T cell activation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012647,http://purl.obolibrary.org/obo/MP_0001845,Abnormal inflammatory response (HPO),abnormal inflammatory response (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002383,http://purl.obolibrary.org/obo/MP_0001847,Encephalitis (HPO),brain inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012123,http://purl.obolibrary.org/obo/MP_0001848,Posterior uveitis (HPO),choroid inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000509,http://purl.obolibrary.org/obo/MP_0001852,Conjunctivitis (HPO),conjunctivitis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012819,http://purl.obolibrary.org/obo/MP_0001856,Myocarditis (HPO),myocarditis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001701,http://purl.obolibrary.org/obo/MP_0001857,Pericarditis (HPO),pericarditis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000123,http://purl.obolibrary.org/obo/MP_0001859,Nephritis (HPO),kidney inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012115,http://purl.obolibrary.org/obo/MP_0001860,Hepatitis (HPO),liver inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0002090,http://purl.obolibrary.org/obo/MP_0001861,Pneumonia (HPO),lung inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0006515,http://purl.obolibrary.org/obo/MP_0001862,Interstitial pneumonitis (HPO),interstitial pneumonia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012384,http://purl.obolibrary.org/obo/MP_0001866,Rhinitis (HPO),nasal inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0012384,http://purl.obolibrary.org/obo/MP_0001867,Rhinitis (HPO),rhinitis (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031259,http://purl.obolibrary.org/obo/MP_0001868,Oophoritis (HPO),ovary inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0001733,http://purl.obolibrary.org/obo/MP_0001869,Pancreatitis (HPO),pancreas inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0031281,http://purl.obolibrary.org/obo/MP_0001870,Sialadenitis (HPO),salivary gland inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000246,http://purl.obolibrary.org/obo/MP_0001872,Sinusitis (HPO),sinus inflammation (MPO),lexical
http://purl.obolibrary.org/obo/HP_0005263,http://purl.obolibrary.org/obo/MP_0001873,Gastritis (HPO),stomach inflammation (MPO),lexical
